This file is created using RaceChrono v10.2.4 ( http://racechrono.com/ ).
Format,3
Session title,"Sonoma Raceway"
Session type,Lap timing
Track name,"Sonoma Raceway"
Driver name,"Max Fischer"
Created,27/08/2026,05:24
Note,Converted from Ducati DDA binary log

timestamp,fragment_id,lap_number,elapsed_time,distance_traveled,altitude,bearing,latitude,longitude,speed,engine_rpm,throttle_position,gear,lean_angle,torque_reduction_fast,torque_reduction_slow
unix time,,,s,m,m,deg,deg,deg,m/s,rpm,%,#,deg,%,%
,,,,,100: gps,100: gps,100: gps,100: gps,100: gps,100: can,100: can,100: can,100: can,100: can,100: can
1724869045.70,0,,1023.70,18376.93,1.9,270.0,38.1590480,-122.4533290,0.000,12243,0.0,1,-13.7,0,0
1724869045.80,0,,1023.80,18376.93,1.9,270.0,38.1590480,-122.4533290,0.000,12243,0.0,1,-13.7,0,0
1724869045.90,0,,1023.90,18376.93,1.9,270.0,38.1590480,-122.4533290,0.000,12243,0.0,1,-13.7,0,0
1724869046.00,0,,1024.00,18377.01,1.9,270.0,38.1590480,-122.4533300,0.000,12243,0.0,1,-13.7,0,0
1724869046.10,0,,1024.10,18377.13,1.9,0.0,38.1590490,-122.4533300,0.000,12243,0.0,1,-13.7,0,0
1724869046.20,0,,1024.20,18377.13,1.9,0.0,38.1590490,-122.4533300,0.000,12243,0.0,1,-13.7,0,0
1724869046.30,0,,1024.30,18377.13,1.9,0.0,38.1590490,-122.4533300,0.000,12243,0.0,1,-13.7,0,0
1724869046.40,0,,1024.40,18377.13,1.9,0.0,38.1590490,-122.4533300,0.000,12243,0.0,1,-13.7,0,0
1724869046.50,0,,1024.50,18377.13,1.9,0.0,38.1590490,-122.4533300,0.000,12243,0.0,1,-13.7,0,0
1724869046.60,0,,1024.60,18377.13,1.9,0.0,38.1590490,-122.4533300,0.000,12243,0.0,1,-13.7,0,0
1724869046.70,0,,1024.70,18377.21,1.9,270.0,38.1590490,-122.4533310,0.000,12243,0.0,1,-13.7,0,0
1724869046.80,0,,1024.80,18377.21,2.0,270.0,38.1590490,-122.4533310,0.000,12243,0.0,1,-13.7,0,0
1724869046.90,0,,1024.90,18377.21,2.0,270.0,38.1590490,-122.4533310,0.000,12243,0.0,1,-13.7,0,0
1724869047.00,0,,1025.00,18377.21,2.0,270.0,38.1590490,-122.4533310,0.000,12243,0.0,1,-13.7,0,0
1724869047.10,0,,1025.10,18377.32,2.0,0.0,38.1590500,-122.4533310,0.000,12243,0.0,1,-13.7,0,0
1724869047.20,0,,1025.20,18377.32,2.0,0.0,38.1590500,-122.4533310,0.000,12243,0.0,1,-13.7,0,0
1724869047.30,0,,1025.30,18377.32,2.0,0.0,38.1590500,-122.4533310,0.000,12243,0.0,1,-13.7,0,0
1724869047.40,0,,1025.40,18377.32,2.0,0.0,38.1590500,-122.4533310,0.000,12243,0.0,1,-13.7,0,0
1724869047.50,0,,1025.50,18377.32,2.0,0.0,38.1590500,-122.4533310,0.000,12243,0.0,1,-13.7,0,0
1724869047.60,0,,1025.60,18377.41,2.0,270.0,38.1590500,-122.4533320,0.000,12243,0.0,1,-13.7,0,0
1724869047.70,0,,1025.70,18377.41,2.0,270.0,38.1590500,-122.4533320,0.000,12243,0.0,1,-13.7,0,0
1724869047.80,0,,1025.80,18377.41,2.0,270.0,38.1590500,-122.4533320,0.000,12243,0.0,1,-13.7,0,0
1724869047.90,0,,1025.90,18377.52,2.0,0.0,38.1590510,-122.4533320,0.000,12243,0.0,1,-13.7,0,0
1724869048.00,0,,1026.00,18377.61,2.0,270.0,38.1590510,-122.4533330,0.000,12243,0.0,1,-13.7,0,0
1724869048.10,0,,1026.10,18377.61,2.0,270.0,38.1590510,-122.4533330,0.000,12243,0.0,1,-13.7,0,0
1724869048.20,0,,1026.20,18377.61,2.0,270.0,38.1590510,-122.4533330,0.000,12243,0.0,1,-13.7,0,0
1724869048.30,0,,1026.30,18377.61,2.0,270.0,38.1590510,-122.4533330,0.000,12243,0.0,1,-13.7,0,0
1724869048.40,0,,1026.40,18377.70,2.0,270.0,38.1590510,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869048.50,0,,1026.50,18377.70,2.0,270.0,38.1590510,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869048.60,0,,1026.60,18377.70,2.0,270.0,38.1590510,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869048.70,0,,1026.70,18377.70,2.0,270.0,38.1590510,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869048.80,0,,1026.80,18377.79,1.9,90.0,38.1590510,-122.4533330,0.000,12243,0.0,1,-13.7,0,0
1724869048.90,0,,1026.90,18377.87,1.9,270.0,38.1590510,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869049.00,0,,1027.00,18377.87,1.9,270.0,38.1590510,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869049.10,0,,1027.10,18377.87,1.9,270.0,38.1590510,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869049.20,0,,1027.20,18377.98,1.9,0.0,38.1590520,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869049.30,0,,1027.30,18378.10,1.9,180.0,38.1590510,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869049.40,0,,1027.40,18378.21,1.9,0.0,38.1590520,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869049.50,0,,1027.50,18378.29,1.9,270.0,38.1590520,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869049.60,0,,1027.60,18378.29,1.9,270.0,38.1590520,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869049.70,0,,1027.70,18378.29,1.9,270.0,38.1590520,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869049.80,0,,1027.80,18378.29,1.8,270.0,38.1590520,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869049.90,0,,1027.90,18378.29,1.8,270.0,38.1590520,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
